Macs,IPs,ACKs
84:8e:0c:1d:58:60,10.172.219.117,1
c8:f6:50:d6:ce:be,10.119.222.25,27
c8:f6:50:e0:a3:12,10.142.221.22,29
2c:76:8a:3e:38:23,10.191.79.14,5
10:9a:dd:52:4b:72,10.191.125.31,3
00:10:49:1c:25:6f,10.191.239.247,5
c8:f6:50:a1:e6:d1,10.101.222.68,29
00:10:49:1c:26:8d,10.191.239.203,5
78:3a:84:c5:55:e6,10.111.221.116,27
c8:f6:50:e7:96:0f,10.126.220.165,27
00:23:12:23:b1:c3,10.172.217.13,2
00:23:12:23:c4:c1,10.115.220.74,2
00:1e:90:0a:61:9f,10.192.127.189,5
00:24:6c:c2:9e:0c,10.191.127.245,5
c8:f6:50:cc:af:8f,10.144.219.138,27
c8:f6:50:a2:9f:be,10.173.217.50,27
c8:f6:50:e4:38:e7,10.126.220.95,27
04:0c:ce:1b:49:48,10.143.222.70,2
c8:f6:50:d7:2d:dc,10.119.221.100,26
00:10:49:17:8a:22,10.191.239.216,5
00:10:49:17:8a:a0,10.191.239.192,5
6c:f3:7f:ca:31:8f,10.191.125.14,5
04:0c:ce:1b:43:21,10.101.223.52,2
00:10:49:1b:d5:03,10.191.239.177,5
04:0c:ce:1b:3c:11,10.110.222.226,2
78:3a:84:cb:d4:41,10.105.198.216,15
64:51:06:25:a7:0c,10.109.79.30,466
c8:f6:50:65:37:db,10.110.222.17,30
00:23:12:25:64:d7,10.144.223.64,2
00:10:49:17:8a:21,10.191.239.92,5
00:10:49:1b:d5:01,10.191.239.219,5
00:23:12:25:37:0f,10.144.219.169,2
00:10:49:17:8b:07,10.191.239.218,5
00:23:24:26:73:ac,10.191.127.251,5
c8:f6:50:c9:93:d5,10.172.216.96,26
00:25:4b:ae:7a:60,10.11.111.242,2
04:e5:36:01:8c:75,10.103.222.121,27
78:fd:94:2d:e1:12,10.106.221.141,29
b0:34:95:54:4b:a3,10.191.212.239,5
c8:f6:50:e5:24:10,10.173.216.1,27
00:10:49:16:d1:73,10.191.239.208,5
00:23:32:9e:e9:2c,10.11.107.137,2
c8:f6:50:a4:36:ea,10.119.222.36,27
00:10:49:17:8b:61,10.191.239.138,5
c8:f6:50:d6:e1:01,10.119.221.99,33
2c:44:fd:02:02:3b,10.119.79.13,545
04:0c:ce:1b:39:6d,10.143.222.35,4
c4:d9:87:c3:f1:59,10.145.219.147,1
78:3a:84:cd:63:b9,10.121.222.8,26
5c:96:9d:90:10:b9,10.115.222.216,157
78:3a:84:b0:8a:e9,10.120.220.9,26
00:10:49:17:8a:60,10.191.239.215,5
00:10:49:17:99:87,10.2.226.89,5
c8:f6:50:cc:73:d0,10.142.220.107,28
c8:f6:50:d6:e1:8c,10.119.222.42,26
00:10:49:1a:46:c7,10.192.239.232,5
04:0c:ce:1b:42:d9,10.110.223.9,1
78:3a:84:b0:ac:c9,10.104.221.8,30
00:10:49:17:8c:29,10.191.239.171,5
4c:b1:99:25:3e:88,10.191.221.140,5
6c:70:9f:7a:a3:bf,10.172.219.23,28
c8:f6:50:a2:e9:e1,10.119.222.38,27
00:10:49:17:98:36,10.191.239.187,5
00:10:49:1c:25:a2,10.191.239.163,5
c8:f6:50:a2:a7:6e,10.126.220.96,20
2c:f0:ee:21:df:34,10.110.221.74,2
00:10:49:17:8a:e9,10.191.239.98,5
c8:f6:50:d6:7d:f6,10.125.222.66,30
2c:f0:ee:1e:a9:d4,10.110.221.65,2
c8:f6:50:d5:d2:9e,10.115.220.168,17
2c:f0:ee:1e:b4:1c,10.110.221.71,2
78:3a:84:ba:3d:83,10.131.222.70,28
2c:f0:ee:1e:57:bc,10.110.221.73,2
c8:f6:50:e6:ff:56,10.115.220.210,27
04:0c:ce:1b:4b:4c,10.171.219.92,2
78:3a:84:b5:f3:e6,10.122.221.126,31
c8:f6:50:d7:21:72,10.101.222.63,27
00:10:49:1c:28:1f,10.192.239.217,5
78:3a:84:b8:c9:83,10.104.220.255,32
64:31:50:27:be:01,10.191.106.241,5
c8:f6:50:e7:b5:e1,10.122.222.160,27
00:10:49:1c:28:34,10.192.239.183,5
00:10:49:17:8b:5b,10.191.239.68,5
04:e5:36:02:d2:ba,10.103.222.101,27
00:10:49:17:8a:20,10.191.239.157,5
04:0c:ce:1b:3d:23,10.171.219.94,3
00:10:49:1a:4c:28,10.192.239.189,5
6c:70:9f:7b:7c:18,10.122.222.140,27
00:10:49:1a:4b:7d,10.192.239.228,5
00:10:49:17:8a:87,10.191.239.150,5
00:10:49:17:90:d3,10.191.239.10,5
00:10:49:1a:38:ca,10.191.239.60,5
78:3a:84:b4:b4:e1,10.104.220.249,33
c8:bc:c8:bf:be:e2,10.106.220.236,2
84:29:99:37:f4:5f,10.173.222.229,15
c4:d9:87:c5:25:47,10.145.219.164,4
04:0c:ce:1b:45:9a,10.143.222.74,2
a8:88:08:c9:25:7f,10.103.222.127,27
c8:f6:50:cd:75:a5,10.145.220.114,25
c8:f6:50:a1:5f:6b,10.119.222.43,26
c8:f6:50:a4:3a:32,10.119.222.50,28
78:3a:84:cf:fd:e1,10.121.222.2,32
00:10:49:17:8a:e1,10.191.239.123,5
00:23:12:25:48:4a,10.144.223.43,2
78:3a:84:b1:bc:ca,10.122.221.116,29
04:0c:ce:1b:43:bf,10.141.223.49,2
c8:f6:50:a2:c1:9f,10.126.220.140,15
00:10:49:17:88:e0,10.191.239.235,5
c8:f6:50:a1:d1:73,10.111.221.132,39
c8:f6:50:d5:c6:6c,10.105.200.11,36
04:e5:36:09:cb:5b,10.103.222.93,28
c4:d9:87:c5:34:f1,10.145.219.150,7
00:10:49:2b:59:7e,10.192.239.153,5
78:3a:84:bf:25:b7,10.122.221.145,30
04:e5:36:05:a3:30,10.103.222.91,28
6c:f3:7f:ca:30:fd,10.191.126.157,5
78:3a:84:c9:81:87,10.121.221.131,29
00:10:49:1b:d5:4c,10.192.239.206,5
c8:f6:50:a1:fa:c1,10.106.222.43,25
78:3a:84:c0:ab:5e,10.144.220.106,26
c8:f6:50:d6:ba:9f,10.173.216.9,27
00:10:49:17:8a:f2,10.191.239.230,5
78:fd:94:41:b7:38,10.121.221.140,31
c8:f6:50:a3:9e:b5,10.119.222.24,27
c8:f6:50:a2:74:71,10.173.216.13,27
78:fd:94:40:c4:2f,10.122.221.133,30
00:23:32:9e:e1:2d,10.11.107.132,2
c8:f6:50:e7:75:73,10.105.199.232,26
c8:f6:50:a1:96:5d,10.111.221.124,29
6c:70:9f:7b:86:49,10.122.222.153,27
78:3a:84:8c:ec:52,10.126.218.147,15
c8:f6:50:a1:d6:f5,10.125.222.70,31
00:10:49:19:95:85,10.191.239.165,5
00:10:49:17:8b:72,10.191.239.97,5
c8:f6:50:d7:32:c7,10.115.220.137,32
78:3a:84:c8:01:63,10.120.220.175,32
2c:f0:ee:97:42:17,10.171.206.234,15
2c:f0:ee:91:95:1a,10.171.206.235,15
78:3a:84:c5:5a:e4,10.104.221.12,29
6c:70:9f:7b:7b:ca,10.126.220.180,27
04:0c:ce:1b:3e:05,10.144.221.97,8
00:21:e9:e2:e7:2d,10.143.223.87,2
00:10:49:17:8b:58,10.191.239.232,5
04:0c:ce:1b:44:7f,10.144.221.251,3
00:10:49:19:95:45,10.191.239.229,5
00:10:49:1b:d0:36,10.142.103.194,24
c8:f6:50:a1:95:e1,10.111.221.112,30
c8:f6:50:a1:8d:92,10.120.220.196,30
c8:f6:50:a7:1d:61,10.120.220.203,30
78:3a:84:b7:46:95,10.122.221.130,32
00:10:49:17:8b:80,10.191.239.172,5
2c:76:8a:41:31:97,10.191.79.44,5
38:b1:db:21:ee:07,10.173.216.229,1
c8:f6:50:e0:df:39,10.119.222.49,28
c8:f6:50:e1:e4:63,10.173.216.8,27
04:0c:ce:1b:3a:33,10.173.220.72,9
04:15:52:a0:b7:1a,10.172.219.177,16
78:fd:94:44:0e:8a,10.192.186.6,1
04:0c:ce:1b:44:ac,10.143.221.150,2
44:1e:a1:35:31:cf,10.192.79.1,5
a8:88:08:cf:59:5a,10.171.214.236,27
c8:f6:50:e0:bb:ac,10.145.174.1,8
00:17:f2:37:d6:01,10.191.215.148,5
00:10:49:17:95:b9,10.191.239.23,5
c8:f6:50:cc:44:99,10.171.205.240,21
c8:f6:50:a1:88:e3,10.119.221.96,30
78:3a:84:ca:86:f5,10.111.221.120,24
c8:f6:50:cc:67:b1,10.144.220.39,25
c8:f6:50:a2:f7:57,10.126.220.94,15
c8:f6:50:c9:fe:7d,10.144.219.132,30
c8:f6:50:e7:78:58,10.115.220.190,25
c4:d9:87:c5:1e:49,10.145.220.68,6
c8:f6:50:a1:b6:e3,10.106.222.23,25
c8:f6:50:e4:ad:66,10.113.221.227,27
c8:f6:50:cc:3b:e7,10.142.220.172,28
34:a3:95:29:73:c0,10.191.180.186,6
78:fd:94:40:45:6c,10.104.221.3,23
04:0c:ce:1b:44:47,10.101.223.63,2
c8:f6:50:d6:1c:7b,10.125.222.71,30
6c:70:9f:7b:34:e1,10.126.220.139,27
6c:70:9f:7b:66:f4,10.122.222.23,30
78:3a:84:bd:4e:80,10.126.220.121,16
78:3a:84:ce:e9:ca,10.111.221.131,28
00:23:12:25:5f:0f,10.143.223.134,2
00:23:12:25:5f:7e,10.143.223.136,2
78:fd:94:3f:97:d6,10.103.221.101,26
04:0c:ce:1b:49:d4,10.103.223.66,2
6c:70:9f:78:9d:f6,10.172.219.34,31
c8:f6:50:e6:03:a8,10.101.222.57,4
c8:f6:50:d7:35:0e,10.124.222.8,15
c8:f6:50:d6:cb:97,10.119.221.102,32
c8:f6:50:d4:9e:cd,10.106.221.192,29
78:3a:84:ab:fd:ce,10.126.219.73,15
78:fd:94:3e:db:de,10.120.219.244,16
c4:d9:87:c4:85:24,10.145.219.158,6
c8:f6:50:a2:7d:ef,10.113.221.148,27
c8:f6:50:a3:7f:6a,10.191.171.187,25
78:3a:84:c8:9b:6b,10.122.221.132,33
c8:f6:50:cc:62:ca,10.144.219.129,26
c8:f6:50:a1:a1:36,10.119.221.98,32
c8:f6:50:a1:90:ab,10.141.217.229,25
04:e5:36:03:7f:e5,10.103.222.213,26
78:3a:84:8c:f6:99,10.144.218.220,30
10:9a:dd:5b:f5:e7,10.191.125.13,3
c8:f6:50:e1:5c:6f,10.173.215.254,27
78:3a:84:c8:8c:bf,10.111.221.135,28
c8:f6:50:a1:95:c7,10.111.221.130,28
c4:d9:87:c3:55:69,10.145.219.155,9
c8:f6:50:62:5e:33,10.110.221.253,29
c8:f6:50:a1:f5:df,10.111.221.110,28
c8:f6:50:d7:33:52,10.119.221.92,30
78:fd:94:3b:70:0f,10.106.221.101,26
c8:f6:50:cb:f9:fd,10.147.219.70,30
6c:70:9f:7b:25:db,10.122.222.92,26
78:3a:84:c9:e0:31,10.107.221.93,29
78:3a:84:ad:b4:00,10.144.220.118,28
04:0c:ce:1b:3d:d5,10.144.221.91,3
a8:88:08:c1:8a:45,10.171.214.234,30
2c:f0:ee:92:df:bd,10.171.207.12,15
c8:f6:50:cd:65:8e,10.144.219.221,30
6c:70:9f:7b:50:b9,10.122.222.115,27
04:0c:ce:1b:46:4f,10.171.219.109,2
78:3a:84:af:d6:4f,10.131.222.74,26
a8:88:08:d8:5b:16,10.171.214.242,27
78:3a:84:8b:ee:e9,10.131.222.72,17
c8:f6:50:cc:a7:de,10.171.205.189,25
c8:f6:50:a0:df:e4,10.173.217.43,27
78:3a:84:be:90:61,10.124.222.12,15
c8:f6:50:e3:2e:8c,10.126.220.131,27
c8:f6:50:a6:9e:e3,10.125.221.168,30
78:3a:84:8b:5a:cc,10.104.221.6,57
c8:f6:50:a2:78:32,10.173.217.34,28
78:3a:84:c5:ad:56,10.106.221.147,28
78:3a:84:ac:6a:22,10.122.221.144,31
c8:f6:50:a2:e5:16,10.126.220.132,28
c8:bc:c8:c8:04:86,10.191.168.88,5
00:23:12:25:36:d2,10.172.217.87,2
c8:f6:50:a1:9c:36,10.101.222.61,29
c8:f6:50:a1:e7:40,10.141.217.16,25
c8:f6:50:e5:d3:43,10.173.216.5,28
a8:88:08:ce:f6:71,10.171.214.251,29
5c:96:9d:90:3f:79,10.171.220.20,3
5c:96:9d:90:3f:9d,10.171.220.28,3
78:fd:94:40:28:5c,10.111.221.125,29
c8:f6:50:a2:f2:e0,10.119.222.44,28
5c:96:9d:90:3b:d3,10.171.220.17,3
5c:96:9d:8f:f3:bb,10.171.220.14,3
5c:96:9d:90:48:eb,10.171.220.23,3
5c:96:9d:90:4c:23,10.171.220.21,3
5c:96:9d:90:06:19,10.171.220.24,2
5c:96:9d:90:43:7b,10.171.220.26,3
5c:96:9d:90:0a:39,10.171.220.16,3
5c:96:9d:90:26:6b,10.171.220.18,3
30:85:a9:50:a7:af,10.191.220.203,5
c8:f6:50:a2:17:66,10.106.222.44,29
78:3a:84:cf:5e:62,10.113.220.172,26
78:3a:84:af:bb:49,10.126.219.115,15
78:fd:94:43:24:15,10.120.220.233,32
c8:f6:50:65:8b:30,10.110.222.3,29
c8:bc:c8:b8:8f:c4,10.144.218.242,2
04:e5:36:0a:d9:7b,10.103.222.104,28
c8:f6:50:d4:bc:d6,10.119.222.31,27
c8:bc:c8:bf:ce:3e,10.106.220.242,3
04:0c:ce:1b:44:06,10.171.219.98,3
04:0c:ce:1b:48:f9,10.171.219.84,3
78:3a:84:b5:65:1c,10.122.222.176,17
78:3a:84:93:08:11,10.122.221.142,30
78:3a:84:92:f5:01,10.171.206.31,26
c8:f6:50:cc:76:24,10.142.220.117,29
c8:f6:50:a3:bd:e0,10.119.222.41,27
6c:70:9f:74:f7:7f,10.172.219.36,27
c8:f6:50:d7:33:4c,10.115.220.195,28
78:3a:84:c9:12:54,10.113.220.166,27
78:3a:84:b1:5c:19,10.121.222.0,26
78:3a:84:c7:ab:ac,10.192.197.183,26
04:0c:ce:1b:44:59,10.171.219.113,2
c8:f6:50:e6:ff:50,10.125.221.167,29
c8:f6:50:a1:9c:24,10.120.220.202,33
c8:f6:50:d7:2f:26,10.103.221.83,25
78:3a:84:c7:59:68,10.106.221.152,30
04:0c:ce:1b:44:30,10.171.219.97,3
c8:f6:50:cc:bc:60,10.144.219.148,31
6c:70:9f:7b:39:58,10.122.222.98,29
04:0c:ce:1b:3b:c8,10.171.219.110,2
c8:f6:50:e7:9f:c3,10.172.216.88,15
04:0c:ce:1b:41:60,10.171.219.88,3
00:23:12:25:65:e0,10.109.221.175,2
c8:f6:50:a3:85:60,10.113.221.210,26
c8:f6:50:62:9d:9c,10.110.222.10,29
c8:f6:50:a1:cc:f9,10.113.220.158,27
64:31:50:33:f3:06,10.191.127.215,5
78:3a:84:c5:8e:ec,10.104.220.252,30
c8:f6:50:a2:39:ba,10.119.222.27,28
c8:f6:50:e6:4e:e3,10.142.221.94,24
04:0c:ce:1b:49:40,10.103.221.105,2
c8:f6:50:cc:31:e5,10.143.219.167,26
00:23:12:25:44:42,10.172.217.94,2
c8:f6:50:d7:2b:83,10.115.220.201,15
c8:f6:50:d5:e8:ac,10.172.217.181,16
5c:96:9d:8d:29:05,10.110.222.203,2
5c:96:9d:8d:2a:3d,10.110.222.230,2
78:3a:84:ce:c9:b5,10.121.221.137,29
5c:96:9d:8d:50:c1,10.110.222.208,2
c8:f6:50:cc:a0:8e,10.144.219.135,30
78:3a:84:cf:2d:53,10.106.221.124,30
78:fd:94:41:40:64,10.105.198.215,15
c8:f6:50:e0:e2:0f,10.173.216.2,27
c8:f6:50:d5:84:dd,10.171.206.162,27
c8:f6:50:e7:11:ad,10.115.220.205,27
c8:f6:50:d7:28:f9,10.115.220.120,28
c8:f6:50:d5:f6:f4,10.105.200.15,27
a8:88:08:d1:9d:8b,10.103.222.142,27
6c:70:9f:7b:26:9b,10.122.222.26,33
78:7e:61:c5:94:7c,10.147.219.48,12
c8:f6:50:e6:7c:e5,10.173.215.246,27
c8:f6:50:d7:19:f8,10.115.220.170,28
c8:bc:c8:c8:04:f3,10.106.220.251,2
78:3a:84:8c:6e:dc,10.106.221.131,27
78:fd:94:34:61:51,10.191.209.45,16
a8:bb:cf:21:d0:dc,10.110.222.109,2
04:0c:ce:1b:3f:d6,10.143.222.69,2
5c:96:9d:8d:23:6d,10.110.222.215,2
c8:f6:50:cc:b0:87,10.144.219.146,26
5c:96:9d:89:58:5f,10.110.222.219,2
5c:96:9d:8d:19:19,10.110.222.205,2
5c:96:9d:90:10:bd,10.110.222.216,2
78:3a:84:c7:08:ee,10.111.221.111,28
5c:96:9d:90:10:6f,10.110.222.211,2
5c:96:9d:8d:3b:3d,10.110.222.237,2
c8:f6:50:e6:85:f7,10.119.222.51,27
58:c3:8b:69:c4:20,10.191.190.120,5
