IP,Open Ports,OS
134.39.81.11,53,Unknown
134.39.81.15,80 443 8008,Unknown
134.39.81.21,53,Unknown
134.39.81.24,80 443,Unknown
134.39.81.25,80 443,Unknown
134.39.81.30,8008,Unknown
134.39.81.33,80 8008,Unknown
134.39.81.49,80 443,Unknown
134.39.81.50,80 443 8008,Unknown
134.39.81.66,80 8008,Unknown
134.39.81.67,8008,Unknown
134.39.81.68,80 443 8008,Unknown
134.39.81.69,80 443 8008,Unknown
134.39.81.78,8008,Unknown
134.39.81.85,80 443,Unknown
134.39.81.89,80 443 8008,Unknown
134.39.81.92,80 443,Unknown
134.39.81.93,80 443,Unknown
134.39.81.105,80 443,Unknown
134.39.81.109,80 443,Unknown
